Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,0,0,1,0,0,0,0,0,0,1,0,4.23600109513816e-12,1.40558397804057e-12,0.544999996999382,2.37457166744374e-11,0,0,1.01055536425352e-13,0.0050625
0.02,1.68876652840567e-15,5.88774160198986e-16,0.999999999989198,5.100137340429e-13,1.68595660541343e-13,5.87990174135673e-14,-1.08022256029017e-09,0,0,1,0,2.5877260664375e-12,8.39236259631747e-13,0.544999999498252,2.65103525692308e-12,2.25356385981653e-17,7.85555289099337e-18,1.01057996056242e-13,0.0045109
0.04,6.07552496519901e-15,2.11160426714267e-15,0.999999999965787,1.52172725321519e-12,2.69911323980523e-13,9.3437808275103e-14,-1.26085200946591e-09,0,0,1,0,1.40110282653885e-12,4.37671718381271e-13,0.54500000017424,1.67073995966087e-12,1.71067102164923e-16,5.95538711769015e-17,1.0105995301889e-13,0.0047585
0.06,1.20054277129037e-14,4.1562382098016e-15,0.999999999941197,2.52812062170963e-12,3.22990485668325e-13,1.11002166869759e-13,-1.19812575860578e-09,0,0,1,0,5.68119825075549e-13,1.60518519323979e-13,0.545000000330439,1.5839536196162e-12,5.2914755084547e-16,1.83739764725135e-16,1.01061309379533e-13,0.0049146
0.08,1.86595380994532e-14,6.4346633634025e-15,0.999999999918424,3.50747140615352e-12,3.42388223478181e-13,1.16832574619608e-13,-1.07916779512607e-09,0,0,1,0,2.53220234342736e-15,-2.39568104917746e-14,0.545000000341571,1.53801017187213e-12,1.14115368672726e-15,3.95169102753808e-16,1.01062639372207e-13,0.0049565
0.1,2.54741871044063e-14,8.75195804200637e-15,0.99999999989807,4.45956336525097e-12,3.39082187069547e-13,1.14899470707199e-13,-9.56202370616665e-10,0,0,1,0,-3.63834045703606e-13,-1.404516116449e-13,0.545000000315003,1.49505203260409e-12,2.02404859286436e-15,6.9903040431866e-16,1.01064064467877e-13,0.0041618
0.12,3.20769856558926e-14,1.09819472762701e-14,0.99999999988008,5.38511342694736e-12,3.21227425965757e-13,1.08108507324115e-13,-8.42801171074825e-10,0,0,1,0,-5.84308385537475e-13,-2.07987540426509e-13,0.545000000281177,1.4533671487257e-12,3.1762623634934e-15,1.09416124109347e-15,1.01065557699482e-13,0.004
0.14,3.82365720210803e-14,1.30483694732137e-14,0.999999999864237,6.28485965857472e-12,2.94775297361751e-13,9.85464617471612e-14,-7.41577323992715e-10,0,0,1,0,-7.00149310051775e-13,-2.41051268752211e-13,0.545000000248421,1.41284777284404e-12,4.58429698933401e-15,1.5754050451083e-15,1.01067068005542e-13,0.0040191
0.16,4.38235699310659e-14,1.4910463877971e-14,0.999999999850299,7.15952137468297e-12,2.63975826004763e-13,8.76774706974361e-14,-6.52145679680416e-10,0,0,1,0,-7.42896836839862e-13,-2.50540255945835e-13,0.545000000218754,1.37345820686925e-12,6.22755312304524e-15,2.1353063107624e-15,1.01068551577363e-13,0.0040161
0.18,4.87806059639518e-14,1.65520708987532e-14,0.999999999838044,8.00979791652492e-12,2.31781434514789e-13,7.64981371392024e-14,-5.73394096647917e-10,0,0,1,0,-7.36343857999041e-13,-2.44538593994301e-13,0.54500000019242,1.33516681066203e-12,8.08178293013445e-15,2.7653022944058e-15,1.01069977249985e-13,0.004093
