Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,0,0,1,0,0,0,0,0,0,1,0,1.51185652924124e-10,1.60824723463933e-10,0.544999998889717,2.35712477554799e-11,0,0,1.70008096337584e-14,0.0408936
0.02,6.02731832450277e-14,6.73666198363297e-14,0.999999999996003,5.06266466859857e-13,6.01728952534469e-12,6.72769173754862e-12,-3.99701747255676e-10,0,0,1,0,1.43800355330757e-10,1.52173502918174e-10,0.544999999276127,5.53031442956876e-12,8.04311698463914e-16,8.98820092636054e-16,1.70020240466373e-14,0.00444
0.04,2.37348132260683e-13,2.65126448849764e-13,0.999999999985403,1.57280644225063e-12,1.16807662640776e-11,1.30398749284971e-11,-6.60296208820909e-10,0,0,1,0,1.36562748849344e-10,1.43725089769979e-10,0.544999999560131,2.47092294096408e-12,6.37917352193743e-15,7.12786970249268e-15,1.70045563851272e-14,0.0041713
0.06,5.24242734964386e-13,5.85087420743719e-13,0.999999999970614,2.70580956918681e-12,1.69998289167173e-11,1.89483443100627e-11,-8.1864904188933e-10,0,0,1,0,1.29477396732631e-10,1.35483920365062e-10,0.544999999766209,1.91676473640862e-12,2.12563872806038e-14,2.37382495557466e-14,1.70074780298261e-14,0.0047284
0.08,9.14163735770917e-13,1.01929428120456e-12,0.999999999953399,3.82349280452527e-12,2.19839642856428e-11,2.44649862211897e-11,-9.02813823699943e-10,0,0,1,0,1.22548350644532e-10,1.27453785827808e-10,0.544999999913273,1.78251623219173e-12,4.96922415578424e-14,5.54581078595951e-14,1.70104016832588e-14,0.0052234
0.1,1.40050828489365e-12,1.56003014235572e-12,0.999999999935031,4.91291851064135e-12,2.6642726036891e-11,2.96017508814715e-11,-9.34035675470568e-10,0,0,1,0,1.15779171371136e-10,1.19637861683371e-10,0.545000000015909,1.71960370112829e-12,9.56750983720264e-14,1.06702145718726e-13,1.70131912769366e-14,0.0077172
0.12,1.97686507325532e-12,2.1998174974103e-12,0.999999999916407,5.97263561789152e-12,3.09857144975878e-11,3.4370626130122e-11,-9.28308523384657e-10,0,0,1,0,1.09172949248505e-10,1.12038736938917e-10,0.545000000085331,1.66973464422899e-12,1.62933033453516e-13,1.81581173836586e-13,1.70158171307837e-14,0.0061178
0.14,2.63701507350485e-12,2.9314187243799e-12,0.999999999898148,7.00309323077456e-12,3.50225574674385e-11,3.87836125907364e-11,-8.97589487180994e-10,0,0,1,0,1.02732324301261e-10,1.04658442623272e-10,0.545000000130131,1.6231350410549e-12,2.54941513972604e-13,2.83911699488823e-13,1.70182872071518e-14,0.0042506
0.16,3.37493190720521e-12,3.74783610701502e-12,0.999999999880665,8.00503890340611e-12,3.87628920226766e-11,4.2852700227825e-11,-8.5074219668968e-10,0,0,1,0,9.64595060680134e-11,9.74984797514008e-11,0.545000000156875,1.57814110718077e-12,3.74931098365386e-13,4.17225523896935e-13,1.70206172491597e-14,0.0040445
0.18,4.18478185781754e-12,4.64231140046046e-12,0.999999999864215,8.97925145730193e-12,4.22163472901308e-11,4.6589846259969e-11,-7.94267052128817e-10,0,0,1,0,9.03562930999696e-11,9.0559846697488e-11,0.545000000170551,1.53444543708591e-12,5.25895143698399e-13,5.84779331243382e-13,1.70228197602634e-14,0.0040795
0.2,5.06092354865697e-12,5.60832496840212e-12,0.999999999848943,9.92649683985239e-12,4.5392528168751e-11,5.00069543940487e-11,-7.32868556951872e-10,0,0,1,0,8.44240921182132e-11,8.38430659621916e-11,0.545000000174936,1.49196814233003e-12,7.10597506788894e-13,7.89564251654684e-13,1.70249021401982e-14,0.0039045
0.22,5.99790730453888e-12,6.63959451776756e-12,0.999999999834916,1.08475212475449e-11,4.83009999755807e-11,5.31158553446753e-11,-6.69891448978888e-10,0,0,1,0,7.86639368091464e-11,7.73482103112698e-11,0.545000000172867,1.45066815079994e-12,9.31580226055524e-13,1.03431538153577e-12,1.70268671934352e-14,0.0041328
0.24,6.99047421536811e-12,7.73007345631852e-12,0.99999999982214,1.17430504637521e-11,5.09512739925746e-11,5.59282886022883e-11,-6.07659416118622e-10,0,0,1,0,7.30765062505374e-11,7.10749282770019e-11,0.545000000166466,1.41051164518746e-12,1.19117117181368e-12,1.32152124566698e-12,1.70287157209702e-14,0.0040198
0.26,8.03355491945082e-12,8.8739488977421e-12,0.999999999810586,1.26137902217293e-11,5.33527938905976e-11,5.84558854133126e-11,-5.47731815458974e-10,0,0,1,0,6.76621429532642e-11,6.50224690082928e-11,0.545000000157298,1.37146676708335e-12,1.49149165345036e-12,1.65343318647386e-12,1.70304474366418e-14,0.0039971
0.28,9.12226812383226e-12,1.00656393381124e-11,0.999999999800198,1.34604267258541e-11,5.55149230065801e-11,6.07101529354724e-11,-4.91104650279794e-10,0,0,1,0,6.24208705109201e-11,5.91897064609538e-11,0.54500000014651,1.33350271091614e-12,1.8344639726152e-12,2.03207466684977e-12,1.70320625484599e-14,0.0040689
0.3,1.0251918878482e-11,1.12997920268554e-11,0.999999999790903,1.42836271865702e-11,5.74469324497342e-11,6.27024595312951e-11,-4.38361205112869e-10,0,0,1,0,5.73524108431561e-11,5.35751629181763e-11,0.54500000013493,1.29658955233092e-12,2.22181891224661e-12,2.45925047385107e-12,1.70335625090015e-14,0.0039663
0.32,1.14179966206633e-11,1.25712800546096e-11,0.999999999782622,1.50840403452232e-11,5.91579900124114e-11,6.4444021162717e-11,-3.89786336540965e-10,0,0,1,0,5.24562010310935e-11,4.81770318350222e-11,0.545000000123152,1.26069820003732e-12,2.65510315191546e-12,2.93655581149545e-12,1.70349504941506e-14,0.0039056
0.34,1.26161730053367e-11,1.38751991796338e-11,0.999999999775269,1.58622969851512e-11,6.06571498613591e-11,6.5945888849739e-11,-3.45451702798982e-10,0,0,1,0,4.77314097322909e-11,4.29932000063646e-11,0.545000000111572,1.22580036893e-12,3.13568660061211e-12,3.46538527177465e-12,1.7036230281106e-14,0.0046623
0.36,1.38422995369601e-11,1.5206864413674e-11,0.999999999768762,1.66190104287597e-11,6.19533429848785e-11,6.72189371563518e-11,-3.05285894341978e-10,0,0,1,0,4.31769531739675e-11,3.80212690467987e-11,0.545000000100465,1.19186855698751e-12,3.66476963872717e-12,4.04694167384422e-12,1.70374074022764e-14,0.0047165
0.38,1.50924050175608e-11,1.65618063874648e-11,0.999999999763018,1.73547770208606e-11,6.30553683715752e-11,6.82738536667635e-11,-2.69118487494779e-10,0,0,1,0,3.87915107138373e-11,3.32585761889722e-11,0.545000000090001,1.15887602356741e-12,4.24339026158093e-12,4.68224476217464e-12,1.70384880455228e-14,0.0041854
0.4,1.63626928254643e-11,1.79357675153082e-11,0.999999999757959,1.80701765986366e-11,6.39718848962139e-11,6.91211294155266e-11,-2.3671816506976e-10,0,0,1,0,3.45735399724618e-11,2.87022143973422e-11,0.545000000080275,1.12679676791259e-12,4.87243111744163e-12,5.37213975524043e-12,1.7039479053281e-14,0.0043375
0.42,1.76495380385828e-11,1.93246979774421e-11,0.999999999753514,1.87657729485901e-11,6.47114038885887e-11,6.97710502353261e-11,-2.07819113029473e-10,0,0,1,0,3.05212915280216e-11,2.43490517937095e-11,0.545000000071334,1.09560550959462e-12,5.55262643353859e-12,6.117305737087e-12,1.70403875887966e-14,0.0044945
0.44,1.89494844156792e-11,2.07247515381936e-11,0.999999999749614,1.94421142508505e-11,6.52822823611953e-11,7.02336889863273e-11,-1.82138819582178e-10,0,0,1,0,2.6632823174406e-11,2.01957504046007e-11,0.545000000063186,1.06527766739924e-12,6.28456882412242e-12,6.91826388484921e-12,1.70412210534596e-14,0.0043458
0.46,2.02592412485448e-11,2.21322812171908e-11,0.999999999746199,2.00997335111806e-11,6.56927168717711e-11,7.05188986316889e-11,-1.59391824183785e-10,0,0,1,0,2.2906013740741e-11,1.62387842301532e-11,0.545000000055813,1.03578934088839e-12,7.0687159751518e-12,7.77538552600082e-12,1.70419865379648e-14,0.0038255
0.48,2.15756800975479e-11,2.35438348302073e-11,0.999999999743212,2.07391489810212e-11,6.59507379969299e-11,7.06363061241174e-11,-1.39299345391919e-10,0,0,1,0,1.93385764722389e-11,1.24744566342489e-11,0.545000000049179,1.00711729120713e-12,7.90539720069399e-12,8.68890001979097e-12,1.70426909570861e-14,0.0037992
0.5,2.28958314225411e-11,2.49561504155089e-11,0.999999999740603,2.13608645659133e-11,6.60642053933519e-11,7.05953070686053e-11,-1.21594752044984e-10,0,0,1,0,1.59280719761211e-11,8.89891707217334e-12,0.545000000043245,9.79238922537401e-13,8.79481986661529e-12,9.65890245797274e-12,1.70433410806205e-14,0.0038001
0.52,2.42168811206457e-11,2.63661515608883e-11,0.999999999738327,2.19653702226106e-11,6.60408034233718e-11,7.04050611274564e-11,-1.06026689650207e-10,0,0,1,0,1.26719207233144e-11,5.50817715235103e-12,0.54500000003795,9.52132264855971e-13,9.73707567760776e-12,1.06853611805499e-11,1.70439426731305e-14,0.0037407
0.54,2.55361669819673e-11,2.77709426458952e-11,0.999999999736343,2.25531423451997e-11,6.58880373216692e-11,7.00744881338253e-11,-9.2364658144106e-11,0,0,1,0,9.56741512575887e-12,2.29812604405412e-12,0.545000000033252,9.2577595618062e-13,1.07321468240498e-11,1.17681251028616e-11,1.70445018806358e-14,0.0040391
0.56,2.68511750738436e-11,2.91678040131011e-11,0.999999999734615,2.3124644140537e-11,6.56132298807854e-11,6.96122648807677e-11,-8.03941091476188e-11,0,0,1,0,6.61173117309577e-12,-7.3545476183567e-13,0.545000000029092,9.00149225634361e-13,1.17799119856316e-11,1.29069308508922e-11,1.70450237677172e-14,0.0041224
0.58,2.815953606377e-11,3.05541870815835e-11,0.999999999733112,2.36803259932849e-11,6.52235186327683e-11,6.90268225533535e-11,-6.99211710752932e-11,0,0,1,0,3.80193964354933e-12,-3.59687732773125e-12,0.545000000025418,8.75231877748915e-13,1.28801521890904e-11,1.41014097022328e-11,1.70455130028236e-14,0.0037745
0.6,2.94590214907105e-11,3.19277094151757e-11,0.999999999731806,2.42206258208481e-11,6.47258535050607e-11,6.83263447721292e-11,-6.07705530342171e-11,0,0,1,0,1.1350168914226e-12,-6.29053377553891e-12,0.545000000022183,8.51004275760842e-13,1.40325565177999e-11,1.53510943306369e-11,1.70459739068395e-14,0.0040134
0.62,3.07475399940588e-11,3.32861497573924e-11,0.99999999973067,2.47459694184883e-11,6.41269949290625e-11,6.75187662166487e-11,-5.27847632270094e-11,0,0,1,0,-1.3921447889076e-12,-8.82088340817345e-12,0.54500000001934,8.27447326530807e-13,1.52367276713338e-11,1.66554253526012e-11,1.7046410373127e-14,0.0039239
