Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,0,0,1,0,0,0,0,0,0,1,0,-2.7329270425914e-11,-2.90923174833788e-11,0.544999996764472,5.70685687868868e-12,0,0,4.38982173292781e-14,0.0164857
0.02,-1.0895360058807e-14,-1.21862550101011e-14,0.999999999988352,1.22572648627687e-13,-1.08772313700725e-12,-1.21700283229778e-12,-1.16479021983196e-09,0,0,1,0,-1.64639893762931e-11,-1.71263355853652e-11,0.544999999468972,5.09808991564949e-13,-1.45392446233501e-16,-1.62591664591118e-16,4.39010824790648e-14,0.0053466
0.04,-3.91051106900693e-14,-4.36031282900134e-14,0.999999999963145,3.62985246352586e-13,-1.73217783674372e-12,-1.92374217757082e-12,-1.35596032180274e-09,0,0,1,0,-8.68367012440798e-12,-8.68703659344422e-12,0.545000000196156,3.04152878374699e-13,-1.10243828616787e-15,-1.23126342449878e-15,4.39033546373558e-14,0.0051932
0.06,-7.70379443039697e-14,-8.55633273622153e-14,0.999999999936731,5.97642995092522e-13,-2.06055822491357e-12,-2.27181363486616e-12,-1.28534431098615e-09,0,0,1,0,-3.25630770125218e-12,-2.89910770770873e-12,0.545000000362004,2.84273505094365e-13,-3.40340739665733e-15,-3.79138779847533e-15,4.39049256352413e-14,0.0045851
0.08,-1.19341930288346e-13,-1.32032723374821e-13,0.999999999912328,8.22394258808765e-13,-2.16965853997198e-12,-2.37498840018442e-12,-1.15502302833193e-09,0,0,1,0,3.99920558185498e-13,9.22459650101663e-13,0.545000000372043,2.71814012978131e-13,-7.32373154628868e-15,-8.13643050286501e-15,4.39064643645115e-14,0.0042958
0.1,-1.62359420322554e-13,-1.78956595997771e-13,0.999999999890567,1.0375011824265e-12,-2.13215297262794e-12,-2.31747554583052e-12,-1.02108742794371e-09,0,0,1,0,2.74287149992366e-12,3.30848998391884e-12,0.545000000341996,2.60133167637068e-13,-1.29602589254957e-14,-1.43600510765173e-14,4.39081096872923e-14,0.0040874
0.12,-2.03696472859596e-13,-2.23735334594691e-13,0.999999999871376,1.24337182934898e-12,-2.0017695863629e-12,-2.16060747106676e-12,-8.97968988056165e-10,0,0,1,0,4.12911522070712e-12,4.66605788327718e-12,0.545000000304487,2.48962922793178e-13,-2.02900690004027e-14,-2.24243475488624e-14,4.39098294354705e-14,0.004042
0.14,-2.41886198882327e-13,-2.6482056666618e-13,0.999999999854513,1.44040257300667e-12,-1.81751011452363e-12,-1.94819894714016e-12,-7.88353631264727e-10,0,0,1,0,4.83327791493409e-12,5.30383295882792e-12,0.545000000268383,2.38272652074985e-13,-2.92140063795572e-14,-3.2209626127237e-14,4.39115634792717e-14,0.004368
0.16,-2.76128371612253e-13,-3.01407423067737e-13,0.999999999839712,1.62897298310094e-12,-1.60705791156162e-12,-1.71080322030847e-12,-6.91735841940045e-10,0,0,1,0,5.06433322809518e-12,5.45296152334881e-12,0.545000000235797,2.28041424502523e-13,-3.95883279129294e-14,-4.35500122868227e-14,4.39132624424764e-14,0.0046825
0.18,-3.06090360707369e-13,-3.33202838740891e-13,0.999999999826727,1.80944633889816e-12,-1.38950358789052e-12,-1.46906067005831e-12,-6.06848971074215e-10,0,0,1,0,4.97916746159015e-12,5.28409905277255e-12,0.545000000206949,2.18249517524832e-13,-5.12472061567273e-14,-5.62583336758214e-14,4.39148898038151e-14,0.0043521
