Scenario,Start_Condition,Ts,MSE_Position,RMSE_Position
Circle,Origin,0.02,0.147791249281644,0.384436274669345
Circle,Origin,0.05,0.21632258354333,0.465104916705177
Circle,Origin,0.1,0.577732394676528,0.760087096770185
Circle,Origin,0.2,0.889590708718073,0.943181164314721
Circle,Deviation,0.02,0.0027412464250381,0.0523569138227044
Circle,Deviation,0.05,0.0523960253087947,0.228901780920976
Circle,Deviation,0.1,0.35649931414975,0.597075635200223
Circle,Deviation,0.2,0.58292993313019,0.763498482729461
Spiral,Origin,0.02,0.0378061439808996,0.194438020924148
Spiral,Origin,0.05,0.103873649954559,0.32229435296722
Spiral,Origin,0.1,0.518257097538738,0.719900755339747
Spiral,Origin,0.2,0.84426052001714,0.918836503420026
Spiral,Deviation,0.02,0.00188757205211485,0.0434461972112043
Spiral,Deviation,0.05,0.0633129131777366,0.251620573836355
Spiral,Deviation,0.1,0.460588656030849,0.678666822550542
Spiral,Deviation,0.2,0.761237029715574,0.872488985440833
