Scenario,Start_Condition,Ts,MSE_Position,RMSE_Position
Circle,Origin,0.02,0.170389216436141,0.412782286969949
Circle,Origin,0.05,0.209412040936914,0.457615603904537
Circle,Origin,0.1,0.325828573769669,0.57081395723096
Circle,Origin,0.2,0.402411570104756,0.634359180673502
Circle,Deviation,0.02,0.011786351852279,0.108564966044664
Circle,Deviation,0.05,0.0569120033670942,0.238562367877028
Circle,Deviation,0.1,0.150572402688734,0.388036599676802
Circle,Deviation,0.2,0.187869629845113,0.433439303530624
Spiral,Origin,0.02,0.0528596401635937,0.229912244483833
Spiral,Origin,0.05,0.101488143511577,0.318572038182225
Spiral,Origin,0.1,0.213637706187238,0.462209591189147
Spiral,Origin,0.2,0.264522757371136,0.514317759144224
Spiral,Deviation,0.02,0.0126028788232219,0.112262544168667
Spiral,Deviation,0.05,0.0644316289710058,0.253833860962256
Spiral,Deviation,0.1,0.170738032566639,0.413204589237146
Spiral,Deviation,0.2,0.211117814994406,0.459475586940597
