Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Err_Int_X,Err_Int_Y,Err_Int_Z,Err_Int_Psi,CalcTime
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,0.0044505
0.02,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,0.0001986
0.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,2.34e-05
0.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.05e-05
0.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.1e-06
0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.2e-06
0.12,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.1e-06
0.14,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.07e-05
0.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.3e-06
0.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
0.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
0.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
0.24,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.5e-06
0.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.5e-06
0.28,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
0.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.4e-06
0.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
0.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.1e-06
0.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.2e-06
0.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.3e-06
0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.81e-05
0.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.4e-06
0.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.8e-06
0.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
0.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
0.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
0.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
0.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
0.58,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.7e-06
0.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
0.64,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.6e-06
0.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.2e-06
0.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
0.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
0.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
0.74,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.4e-06
0.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
0.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.2e-06
0.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.2e-06
0.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
0.86,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
0.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.2e-06
0.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
0.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.88e-05
0.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.8e-06
0.96,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6e-06
0.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.41e-05
1.02,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.2e-06
1.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
1.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.5e-06
1.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
1.12,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.14,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
1.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
1.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7e-06
1.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
1.24,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.28,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
1.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.39e-05
1.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.11e-05
1.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.6e-06
1.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
1.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
1.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
1.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.7e-06
1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.1e-06
1.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
1.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.58,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.64,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.53e-05
1.74,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.45e-05
1.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8e-06
1.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
